time,"Brent crude oil spot price, Monthly (dollars per barrel)",avg,,,,,,,,,,,sno,x1,x2,x3,y
2009 07 ,64.435,49.90628571,,,,,,,,,,,,,,,
2009 08 ,72.509,53.40471429,,,,,,,,,,,,,,,
2009 09 ,67.646,57.55757143,,,,,,,,,,,,,,,
2009 10 ,72.77,61.03214286,,,,,,,,,,,,,,,
2009 11 ,76.662,64.77928571,,,,,,,,,,,,,,,
2009 12 ,74.456,68.56214286,,,,,,,,,,,,,,,
2010 01 ,76.167,71.01257143,,,,,,,,,,,,,,,
2010 02 ,73.752,72.09214286,,,,,,,,,,,,,,,
2010 03 ,78.827,73.42314286,,,,,,,,,,,,,,,
2010 04 ,84.818,74.32571429,,,,,,,,,,,,,,,
2010 05 ,75.946,76.77885714,,,,,,,,,,,,,,,
2010 06 ,74.761,77.23257143,,,,,,,,,,,,,,,
2010 07 ,75.58,76.961,,,,,,,,,,,,,,,
2010 08 ,77.04,77.12157143,,,,,,,,,,,,,,,
2010 09 ,77.84,77.24628571,,,,,,,,,,,,,,,
2010 10 ,82.665,77.83028571,,,,,,,,,,,,,,,
2010 11 ,85.275,78.37857143,,,,,,,,,,,,,,,
2010 12 ,91.447,78.44385714,,,,,,,,,,,,,,,
2011 01 ,96.524,80.65828571,,,,,,,,,,,,,,,
2011 02 ,103.716,83.76728571,,,,,,,,,,,,,,,
2011 03 ,114.643,87.78671429,,,,,,,,,,,,,,,
2011 04 ,123.259,93.15857143,,,,,,,,,,,,,,,
2011 05 ,114.989,99.647,,,,,,,,,,,,,,,
2011 06 ,113.833,104.2647143,,,,,,,,,,,,,,,
2011 07 ,116.974,108.3444286,,,,,,,,,,,,,,,
2011 08 ,110.22,111.9911429,,,,,,,,,,,,,,,
2011 09 ,112.834,113.9477143,,,,,,,,,,,,,,,
2011 10 ,109.55,115.2502857,,,,,,,,,,,,,,,
2011 11 ,110.768,114.5227143,,,,,,,,,,,,,,,
2011 12 ,107.871,112.7382857,,,,,,,,,,,,,,,
2012 01 ,110.686,111.7214286,,,,,,,,,,,,,,,
2012 02 ,119.327,111.2718571,,,,,,,,,,,,,,,
2012 03 ,125.445,111.608,,,,,,,,,,,,,,,
2012 04 ,119.75,113.783,,,,,,,,,,,,,,,
2012 05 ,110.34,114.771,,,,,,,,,,,,,,,
2012 06 ,95.156,114.8838571,,,,,,,,,,,,,,,
2012 07 ,102.619,112.6535714,,,,,,,,,,,,,,,
2012 08 ,113.356,111.9032857,,,,,,,,,,,,,,,
2012 09 ,112.864,112.2847143,,,,,,,,,,,,,,,
2012 10 ,111.711,111.3614286,,,,,,,,,,,,,,,
2012 11 ,109.059,109.3994286,,,,,,,,,,,,,,,
2012 12 ,109.494,107.8721429,,,,,,,,,,,,,,,
2013 01 ,112.96,107.7512857,,,,,,,,,,,,,,,
2013 02 ,116.051,110.2947143,,,,,,,,,,,,,,,
2013 03 ,108.474,112.2135714,,,,,,,,,,,,,,,
2013 04 ,102.248,111.5161429,,,,,,,,,,,,,,,
2013 05 ,102.559,109.9995714,,,,,,,,,,,,,,,
2013 06 ,102.92,108.6921429,,,,,,,,,,,,,,,
2013 07 ,107.933,107.8151429,,,,,,,,,,,,,,,
2013 08 ,111.28,107.5921429,,,,,,,,,,,,,,,
2013 09 ,111.597,107.3521429,,,,,,,,,,,,,,,
2013 10 ,109.077,106.7158571,,,,,,,,,,,,,,,
2013 11 ,107.792,106.802,,,,,,,,,,,,,,,
2013 12 ,110.757,107.594,,,,,,,,,,,,,,,
2014 01 ,108.118,108.7651429,,,,,,,,,,,,,,,
2014 02 ,108.901,109.5077143,,,,,,,,,,,,,,,
2014 03 ,107.481,109.646,,,,,,,,,,,,,,,
2014 04 ,107.755,109.1032857,,,,,,,,,,,,,,,
2014 05 ,109.539,108.5544286,,,,,,,,,,,,,,,
2014 06 ,111.795,108.6204286,,,,,,,,,,,,,,,
2014 07 ,106.768,109.1922857,,,,,,,,,,,,,,,
2014 08 ,101.608,108.6224286,,,,,,,,,,,,,,,
2014 09 ,97.091,107.6924286,,,,,,,,,,,,,,,
2014 10 ,87.425,106.0052857,,,,,,,,,,,,,,,
2014 11 ,79.438,103.1401429,,,,,,,,,,,,,,,
2014 12 ,62.335,99.09485714,,,,,,,,,,,,,,,
2015 01 ,47.76,92.35142857,,,,,,,,,,,,,,,
2015 02 ,58.096,83.20357143,,,,,,,,,,,,,,,
2015 03 ,55.885,76.25042857,,,,,,,,,,,,,,,
2015 04 ,59.524,69.71857143,,,,,,,,,,,,,,,
2015 05 ,64.075,64.35185714,,,,,,,,,,,,,,,
2015 06 ,61.478,61.01614286,,,,,,,,,,,,,,,
2015 07 ,56.561,58.45042857,,,,,,,,,,,,,,,
2015 08 ,46.515,57.62557143,,,,,,,,,,,,,,,
2015 09 ,47.623,57.44771429,,,,,,,,,,,,,,,
2015 10 ,48.43,55.95157143,,,,,,,,,,,,,,,
2015 11 ,44.268,54.88657143,,,,,,,,,,,,,,,
2015 12 ,38.005,52.70714286,,,,,,,,,,,,,,,
2016 01 ,30.7,48.98285714,,,,,,,,,,,,,,,
2016 02 ,32.182,44.586,,,,,,,,,,,,,,,
2016 03 ,38.21,41.10328571,,,,,,,,,,,,,,,
2016 04 ,41.583,39.91685714,,,,,,,,,,,,,,,
2016 05 ,46.742,39.054,,,,,,,,,,,,,,,
2016 06 ,48.247,38.81285714,,,,,,,,,,,,,,,
2016 07 ,44.952,39.38128571,,,,,,,,,,,,,,,
2016 08 ,45.843,40.37371429,,,,,,,,,,,,,,,
2016 09 ,46.568,42.537,,,,,,,,,,,,,,,
2016 10 ,49.522,44.59214286,,,,,,,,,,,,,,,
2016 11 ,44.734,46.20814286,,,,,,,,,,,,,,,
2016 12 ,53.289,46.65828571,,,,,,,,,,,,,,,
2017 01 ,54.577,47.59357143,,,,,,,,,,,,,,,
2017 02 ,54.87,48.49785714,,,,,,,,,,,,,,,
2017 03 ,51.589,49.91471429,,,,,,,,,,,,,,,
2017 04 ,52.308,50.73557143,,,,,,,,,,,,,,,
2017 05 ,50.327,51.55557143,,,,,,,,,,,,,,,
2017 06 ,46.368,51.67057143,,,,,,,,,,,,,,,
2017 07 ,48.479,51.904,,,,,,,,,,,,,,,
2017 08 ,51.704,51.21685714,,,,,,,,,,,,,,,
2017 09 ,56.153,50.80642857,,,,,,,,,,,,,,,
2017 10 ,57.508,50.98971429,,,,,,,,,,,,,,,
2017 11 ,62.714,51.83528571,,,,,,,,,,,,,,,
2017 12 ,64.374,53.32185714,,,,,,,,,,,,,,,
2018 01 ,69.077,55.32857143,,,,,,,,,,,,,,,
2018 02 ,65.318,58.57271429,,,,,,,,,,,,,,,
2018 03 ,66.017,60.97828571,,,,,,,,,,,,,,,
2018 04 ,72.106,63.023,,,,,,,,,,,,,,,
2018 05 ,76.975,65.302,,,,,,,,,,,,,,,
2018 06 ,74.405,68.083,,,,,,,,,,,,,,,
2018 07 ,74.254,69.75314286,,,,,,,,,,,,,,,
2018 08 ,72.528,71.16457143,,,,,,,,,,,,,,,
2018 09 ,78.891,71.65757143,,,,,,,,,,,,,,,
2018 10 ,81.032,73.59657143,,,,,,,,,,,,,,,
2018 11 ,64.748,75.74157143,,,,,,,,,,,,,,,
2018 12 ,57.362,74.69042857,,,,,,,,,,,,,,,
2019 01 ,59.41,71.88857143,,,,,,,,,,,,,,,
2019 02 ,63.961,69.74642857,,,,,,,,,,,,,,,
2019 03 ,66.139,68.276,,,,,,,,,,,,,,,
2019 04 ,71.233,67.36328571,,,,,,,,,,,,,,,
2019 05 ,71.318,66.26928571,,,,,,,,,,,,,,,
2019 06 ,64.221,64.88157143,,,,,,,,,,,,,,,
2019 07 ,63.919,64.80628571,,,,,,,,,,,,,,,
2019 08 ,59.042,65.743,,,,,,,,,,,,,,,
2019 09 ,62.827,65.69042857,,,,,,,,,,,,,,,
2019 10 ,59.713,65.52842857,,,,,,,,,,,,,,,
2019 11 ,63.212,64.61042857,,,,,,,,,,,,,,,
2019 12 ,67.31,63.46457143,,,,,,,,,,,,,,,
2020 01 ,63.65,62.892,,,,,,,,,,,,,,,
2020 02 ,55.66,62.81042857,,,,,,,,,,,,,,,
2020 03 ,32.01,61.63057143,,,,,,,,,,,,,,,
2020 04 ,18.38,57.76885714,,,,,,,,,,,,,,,
2020 05 ,29.38,51.41928571,,,,,,,,,,,,,,,
2020 06 ,40.27,47.086,,,,,,,,,,,,,,,
2020 07 ,43.24,43.80857143,,,,,,,,,,,,,,,
2020 08 ,44.74,40.37,,,,,,,,,,,,,,,
2020 09 ,40.91,37.66857143,,,,,,,,,,,,,,,
2020 10 ,40.19,35.56142857,,,,,,,,,,,,,,,
2020 11 ,42.69,36.73,,,,,,,,,,,,,,,
2020 12 ,49.99,40.20285714,,,,,,,,,,,,,,,
2021 01 ,54.77,43.14714286,,,,,,,,,,,,,,,
2021 02 ,62.28,45.21857143,,,,,,,,,,,,,,,
2021 03 ,65.41,47.93857143,,,,,,,,,,,,,,,
2021 04 ,65,50.89142857,,,,,,,,,,,,,,,
2021 05 ,66,54.33285714,,,,,,,,,,,,,,,
2021 06 ,65,58.02,,,,,,,,,,,,,,,
2021 07 ,64,61.20714286,,,,,,,,,,,,,,,
2021 08 ,63,63.20857143,,,,,,,,,,,,,,,
2021 09 ,61,64.38428571,,,,,,,,,,,,,,,
2021 10 ,60,64.20142857,,,,,,,,,,,,,,,
2021 11 ,60,63.42857143,,,,,,,,,,,,,,,
2021 12 ,60,62.71428571,,,,,,,,,,,,,,,
2022 01 ,62,61.85714286,,,,,,,,,,,,,,,
2022 02 ,62,61.42857143,,,,,,,,,,,,,,,
2022 03 ,62,61.14285714,,,,,,,,,,,,,,,
2022 04 ,59,61,,,,,,,,,,,,,,,
2022 05 ,59,60.71428571,,,,,,,,,,,,,,,
2022 06 ,59,60.57142857,,,,,,,,,,,,,,,
2022 07 ,60,60.42857143,,,,,,,,,,,,,,,
2022 08 ,60,60.42857143,,,,,,,,,,,,,,,
2022 09 ,60,60.14285714,,,,,,,,,,,,,,,
2022 10 ,61,59.85714286,,,,,,,,,,,,,,,
2022 11 ,61,59.71428571,,,,,,,,,,,,,,,
2022 12 ,61,60,,,,,,,,,,,,,,,
